1	1	0.01	0.01
1	1	0.01	0.01
2	1	0.02	0.01
3	1	0.03	0.01
4	1	0.04	0.01
5	1	0.05	0.01
6	1	0.06	0.01
1	1	0.01	0.01
2	1	0.02	0.01
3	1	0.03	0.01
4	1	0.04	0.01
5	1	0.05	0.01
6	1	0.06	0.01
7	1	0.07	0.01
8	1	0.08	0.01
9	1	0.09	0.01
10	1	0.1	0.01
11	1	0.11	0.01
12	1	0.12	0.01
13	1	0.13	0.01
14	1	0.14	0.01
15	1	0.15	0.01
16	1	0.16	0.01
17	1	0.17	0.01
18	1	0.18	0.01
19	1	0.19	0.01
20	1	0.2	0.01
21	1	0.21	0.01
1	1	0.01	0.01
2	1	0.02	0.01
3	1	0.03	0.01
4	1	0.04	0.01
5	1	0.05	0.01
6	1	0.06	0.01
7	1	0.07	0.01
8	1	0.08	0.01
9	1	0.09	0.01
1	1	0.01	0.01
2	1	0.02	0.01
3	1	0.03	0.01
4	1	0.04	0.01
5	1	0.05	0.01
1	1	0.01	0.01
2	1	0.02	0.01
1	1	0.01	0.01
2	1	0.02	0.01
3	1	0.03	0.01
4	1	0.04	0.01
5	1	0.05	0.01
6	1	0.06	0.01
7	1	0.07	0.01
8	1	0.08	0.01
9	1	0.09	0.01
10	1	0.1	0.01
11	1	0.11	0.01
12	1	0.12	0.01
13	1	0.13	0.01
14	1	0.14	0.01
15	1	0.15	0.01
16	1	0.16	0.01
17	1	0.17	0.01
18	1	0.18	0.01
1	1	0.01	0.01
2	1	0.02	0.01
3	1	0.03	0.01
4	1	0.04	0.01
